Plot_Name,Easting,Northing,Altitude,Bare_Ground,Cheatgrass
CC-A1-1,1367922.098,656733.6425,561,20,0
CC-A1-2,1367909.428,656824.7008,569,35,0
CC-A1-3,1367891.207,656939.2407,570,25,0
CC-A1-4,1367958.589,656910.5097,561,0,0
CC-A1-5,1367952.739,656792.9606,555,0,0
*CC-A1-6,1367838.748,656730.937,559,0,1
CC-A1-7,1367903.74,656741.2158,560,30,4
CC-A1-8,1367905.509,656695.3488,552,30,0
CC-A1-9,1367881.315,656651.022,535,20,10
*CC-A1-10,1367897.48,656673.0956,546,0,75
CC-A1-11,1367783.513,656545.7631,483,10,25
CC-A1-12,1367764.097,656545.6669,483,0,80
CC-A2-1,1367899.113,656264.3725,445,0,50
CC-A2-2,1367901.506,656312.2218,452,0,75
CC-A2-3,1367908.053,656325.8803,459,5,15
CC-A2-4,1367932.855,656347.6997,473,0,3
CC-A2-5,1368109.366,655950.6907,420,75,15
CC-A2-6,1368226.539,656085.4119,469,45,0
CC-A2-7,1368178.197,656120.127,471,10,0
CC-A6-1,1366915.644,655841.1551,638,8,0
CC-A6-2,1366924.047,655831.6156,644,15,40
CC-A6-3,1366913.665,655817.2293,642,10,40
CC-A6-4,1366908.343,655786.9165,637,20,0
CC-A11-1,1366842.077,655334.0083,592,0,70
CC-A11-2,1366824.063,655322.5203,592,5,60
CC-A11-3,1366797.103,655314.5034,592,0,60
CC-A11-4,1366773.823,655338.0177,596,0,0
CC-A11-5,1366718.091,655290.0332,601,0,50
CC-A11-6,1366693.1,655256.2613,607,10,0
CC-A11-7,1366711.401,655234.1658,602,0,0
CC-A11-8,1366640.521,655238.3185,607,50,0
CC-A11-9,1366615.012,655270.0423,620,50,0
CC-A13-1,1366667.353,655342.0018,607,0,35
CC-A13-2,1366813.355,655430.3581,604,0,90
CC-A13-3,1366823.55,655424.2999,601,0,0
CC-A13-4,1366846.67,655395.3034,596,0,0
CC-A13-5,1366596.453,655294.6869,624,0,0
CC-A13-6,1366594.74,655325.597,626,35,0
CC-A13-7,1366592.07,655325.4002,626,0,60
CC-A11-1,1366694.761,654816.8521,528,25,0
CC-A11-2,1366684.397,654701.5446,526,0,1
CC-A11-3,1366706.823,654880.3719,526,0,85
CC-A12-1,1366375.404,655113.5061,642,20,0
CC-A12-2,1366349.988,655121.9052,646,0,30
CC-A12-3,1366341.194,655138.6734,647,50,0
CC-A12-4,1366341.252,655137.8962,647,60,0
CC-A12-5,1366370.812,655160.5036,649,60,0
CC-A12-6,1366018.348,654838.1506,559,80,15
